name,iso_country,municipality,icao_code,iata_code,coordinates
El Calafate Airport,AR,El Calafate,SAWC,FTE,"-72.053101, -50.2803"
El Palomar Airport,AR,El Palomar,SADP,EPA,"-58.6126, -34.6099"
El Plumerillo Airport,AR,Mendoza,SAME,MDZ,"-68.7929000854, -32.8316993713"
El Tehuelche Airport,AR,Puerto Madryn,SAVY,PMY,"-65.1027, -42.7592"
Formosa Airport,AR,Formosa,SARF,FMA,"-58.2281, -26.2127"
General E. Mosconi Airport,AR,Comodoro Rivadavia,SAVC,CRD,"-67.4655, -45.7853"
General Enrique Mosconi Airport,AR,Tartagal,SAST,TTG,"-63.7937011719, -22.619600296"
General Pico Airport,AR,General Pico,SAZG,GPO,"-63.7583007812, -35.6962013245"
General Urquiza Airport,AR,Parana,SAAP,PRA,"-60.4804, -31.7948"
Gobernador Castello Airport,AR,Viedma / Carmen de Patagones,SAVV,VDM,"-63.0004, -40.8692"
Gobernador Horacio Guzman International Airport,AR,San Salvador de Jujuy,SASJ,JUJ,"-65.097801, -24.392799"
Goya Airport,AR,Goya,SATG,OYA,"-59.2189, -29.1058"
Gualeguaychu Airport,AR,Gualeguaychu,SAAG,GHU,"-58.6131, -33.0103"
Hermes Quijada International Airport,AR,Rio Grande,SAWE,RGA,"-67.7494, -53.7777"
H����roes De Malvinas Airport,AR,Tandil,SAZT,TDL,"-59.2279014587, -37.2374000549"
����stor Piazzola International Airport,AR,Mar del Plata,SAZM,MDQ,"-57.5733, -37.9342"
Ingeniero Ambrosio Taravella Airport,AR,Cordoba,SACO,COR,"-64.208, -31.323601"
Islas Malvinas Airport,AR,Rosario,SAAR,ROS,"-60.785, -32.9036"
Jorge Newbery Airpark,AR,Buenos Aires,SABE,AEP,"-58.4156, -34.5592"
La Plata Airport,AR,La Plata,SADL,LPG,"-57.8947, -34.9722"
Las Heras Airport,AR,Las Heras,SAVH,LHS,"-68.9653015137, -46.53829956049999"
Libertador Gral D Jose De San Martin Airport,AR,Posadas,SARP,PSS,"-55.9707, -27.3858"
Malvinas Argentinas Airport,AR,Ushuahia,SAWH,USH,"-68.2958, -54.8433"
Martin Miguel De Guemes International Airport,AR,Salta,SASA,SLA,"-65.4861984253, -24.856000900299996"
Ministro Pistarini International Airport,AR,Buenos Aires,SAEZ,EZE,"-58.5358, -34.8222"
Monte Caseros Airport,AR,Monte Caseros,SARM,MCS,"-57.6402, -30.2719"
Necochea Airport,AR,Necochea,SAZO,NEC,"-58.8172, -38.4831"
Or����n Airport,AR,Or����n,SASO,ORA,"-64.3292007446, -23.1527996063"
Paso De Los Libres Airport,AR,Paso de los Libres,SARL,AOL,"-57.1521, -29.6894"
Perito Moreno Airport,AR,Perito Moreno,SAWP,PMQ,"-70.978699, -46.537899"
Piloto Civil N. Fern����ndez Airport,AR,Rio Gallegos,SAWG,RGL,"-69.3126, -51.6089"
Presidente Peron Airport,AR,Neuquen,SAZN,NQN,"-68.155701, -38.949001"
Puerto Deseado Airport,AR,Puerto Deseado,SAWD,PUD,"-65.9041, -47.7353"
Reconquista Airport,AR,Reconquista,SATR,RCQ,"-59.68, -29.2103"
Resistencia International Airport,AR,Resistencia,SARE,RES,"-59.0561, -27.45"
Rincon De Los Sauces Airport,AR,Rincon de los Sauces,SAHS,RDS,"-68.9041976929, -37.3905982971"
San Carlos De Bariloche Airport,AR,San Carlos de Bariloche,SAZS,BRC,"-71.157501, -41.151199"
San Fernando Airport,AR,San Fernando,SADF,FDO,"-58.5896, -34.4532"
Santa Cruz Airport,AR,Santa Cruz,SAWU,RZA,"-68.5792, -50.0165"
Santa Rosa Airport,AR,Santa Rosa,SAZR,RSA,"-64.275703, -36.588299"
Santa Teresita Airport,AR,Santa Teresita,SAZL,SST,"-56.7218, -36.5423"
Sauce Viejo Airport,AR,Santa Fe,SAAV,SFN,"-60.8117, -31.7117"
Suboficial Ay Santiago Germano Airport,AR,San Rafael,SAMR,AFA,"-68.4039, -34.588299"
Teniente Benjamin Matienzo Airport,AR,San Miguel de Tucum����n,SANT,TUC,"-65.104897, -26.8409"
Termas de R����o Hondo international Airport,AR,Termas de R����o Hondo,SANR,RHD,"-64.93595, -27.4966"
Tres Arroyos Airport,AR,Tres Arroyos,SAZH,OYO,"-60.3297, -38.3869"
Vicecomodoro Angel D. La Paz Aragon����s Airport,AR,Santiago del Estero,SANE,SDE,"-64.3099975586, -27.765556335399996"
Villa Dolores Airport,AR,Villa Dolores,SAOD,VDR,"-65.1463012695, -31.9451999664"
Villa Gesell Airport,AR,Villa Gesell,SAZV,VLG,"-57.0292, -37.2354"
Villa Reynolds Airport,AR,Villa Mercedes,SAOR,VME,"-65.3873977661, -33.7299003601"
